book_id,author_id,role
1061,281,Goodreads Author
1062,996,writer
1063,997,writer
1064,726,Goodreads Author
1065,998,Goodreads Author
1066,999,writer
1067,368,writer
1068,1000,Goodreads Author
1069,1001,Goodreads Author
1070,1002,writer
1071,1003,Goodreads Author
1072,331,writer
1073,735,writer
1074,630,Goodreads Author
1075,405,Goodreads Author
1076,1004,Goodreads Author
1077,225,Goodreads Author
1078,655,writer
1078,1005,Editor
1078,1006,Editor
1078,1007,preface
1079,726,Goodreads Author
1080,710,Goodreads Author
1081,1008,Goodreads Author
1082,139,Goodreads Author
1083,843,writer
1084,1009,Goodreads Author
1085,1010,writer
1086,1011,Goodreads Author
1087,248,Goodreads Author
1087,1012,Translator
1088,1013,writer
1088,1014,Goodreads Author)
1089,1015,writer
1090,1016,Goodreads Author
1090,1017,translator
