name
Tsugumi Ohba
Takeshi Obata
Pookie Rolf
Eugene O'Neill
Roberta Pearce
Edwin A. Abbott
Banesh Hoffmann
Elizabeth Wein
Chloe Neill
Azar Nafisi
Melodie Ramone
Владимир Правосудов
J.G. Ballard
Karl Marx
Friedrich Engels
Gareth Stedman Jones
Huntley Fitzpatrick
Patricia MacLachlan
Michelle Magorian
Paul Birkbeck
Julian Barnes
Alan Brennert
Colum McCann
Thomas Paine
Jerry W. Ward Jr.
John Richard Spencer
C.K. Scott Moncrieff
Andreas Mayor
Terence Kilmartin
D.J. Enright
Jana Petken
Samuel R. George
T.J. Reed
Mika Waltari
Moira Young
Joël Dicker
A.G. Howard
J.K. Franko
Taylor Jenkins Reid
Sherwood Anderson
Kathleen Grissom
Ted Bernal Guevara
Blake Crouch
Marie Rutkoski
Piotr W. Cholewa
Barbara Ehrenreich
Renée Ahdieh
Anna Todd
Carol Rifka Brunt
William Landay
M. Scott Peck
Alison Goodman
Pam Morris
Mirra Ginsburg
Andrew Watson
Charles Watson
Joelle Charbonneau
Amélie Sarn
Amélie Hesnard
Walter Moers
John Brownjohn
Alexander Theroux
Stephen Marlowe
Kelly Creagh
Morgan Matson
Sergei Lukyanenko
Andrew Bromfield
David Clement-Davies
Paz Pruneda
Jessica Sorensen
Linda Masemore Pirrung
Thornton Wilder
Donald Margulies
Tappan Wilder
Sandra Cisneros
Rom LcO'Feer
Steven Pressfield
Tad Williams
Juliet Marillier
Brae Wyckoff
Eça de Queirós
Ester de Lemos
Tom Rob Smith
Augustine of Hippo
Henry Chadwick
Albert Cook Outler
Armistead Maupin
Robin LaFevers
سعود السنعوسي
Saud Alsanousi
Emma Chase
Ilon Wikland
Jill M. Morgan
Lindsay Anne Kendal
Mark Bowden
Peter Ackroyd
William L. Shirer
Shelly Crane
Jo Nesbø
Don Bartlett
Simone de Beauvoir
H.M. Parshley
Deirdre Bair
Kresley Cole
L.C. Conn
Richard Preston
Heather Morris
James Alexander Thom
J.K. Accinni
Ernesto Sabato
Nino Pipia
Jenny Carroll
Natsuki Takaya
Alethea Nibley
Athena Nibley
Malcolm Lowry
Alex Michaelides
Jorma-Veikko Sappinen
Jennifer Donnelly
Montserrat Mira
Ross Lockridge Jr.
Pramoedya Ananta Toer
John Rocco
Pat Frank
Linda Armstrong
Dorothy L. Sayers
Jim Fergus
Najeev Raj Nadarajah
Norman Mailer
Alison Croggon
Patricia Highsmith
Jami Brumfield
Edward E. Ericson Jr.
Irvin D. Yalom
Stella Gibbons
Roz Chast
Holly Black
Catherine Fisher
Amit Ray
Brian Bolland
Tim Sale
Julia Hoban
Adam Carpenter Welles
Jude Deveraux
Gilbert Sorrentino
S.T. Joshi
Darren Shan
Robert Dugoni
Anthony Horowitz
Linda Watkins
Peter Kussi
Eleanor H. Porter
Jean Rhys
Miguel Ruiz
Walter Kaufmann
William Graney
Kimberly Derting
Dennis Sharpe
Matthew Bracey
Raymond Carver
Joe Hill
Jennifer Weiner
Lisa McMann
Kimberley Paterson
Darynda Jones
Patrick O'Brian
Jeanette Winterson
Alexandre Dumas fils
David Coward
Gordon B. Hinckley
Kendare Blake
Everett H. Emerson
Patti Smith
Mario Vargas Llosa
Chuck Dixon
David Wenzel
Sean Deming
Rhys Bowen
Sarah Jane Hails
Spencer W. Kimball
Jodi Ellen Malpas
Nelou Keramati
Lynessa Layne
Alison Bechdel
Edward Rutherfurd
Alfred Birnbaum
Alan Bradley
James Graham
Mahatma Gandhi
Mahadev Desai
Courtney Allison Moulton
Lian Hearn
A.D. Zoltan
Zoltan Andrejkovics
Steven N. Nagy
Jennifer Egan
Jack Finney
Ivan Goncharov
Stephen Pearl
Galya Diment
Caleb Carr
Jordan Stump
Jan Raymond
Daniel Kahneman
Mackenzi Lee
John Fante
John Hemingway
Patrick Hemingway
Gregory H. Hemingway
Charles Scribner Jr.
Dorothy Dunnett
Alfred Bester
José Mauro de Vasconcelos
إيناس العباسي
Ken Grimwood
Lissa Price
Samantha Shannon
Tom Stoppard
Sylvie Durastanti
Ayaan Hirsi Ali
Terry Tempest Williams
T.H. Watkins
Lili St. Crow
Lilith Saintcrow
J. Jupes
Iain M. Banks
Sam Conniff
Jerry Pournelle
John Galsworthy
Lynne Reid Banks
Kōbō Abe
E. Dale Saunders
ShelFoote
Lalita Tademy
Sarah Dunant
Eddie Campbell
Pete Mullins
Henry Fielding
Thomas Keymer
Alice Wakely
Arkady Strugatsky
Boris Strugatsky
Theodore Sturgeon
Antonina W. Bouis
Thomas Wolfe
Radu Surdulescu
R.A. Salvatore
Margaret Weis
Tracy Hickman
Jennifer E. Smith
Diana Sudyka
Steven Erikson
Sabahattin Ali
Kate Atkinson
Jennifer Crusie
Judith McNaught
Angie Sage
Mark Zug
James Allen
Rebecca Stead
Jennifer Brown
Ruth Ozeki
Ira Levin
Carlos Martín Ramírez
Kevin Moccia
Jared Diamond
Mikhail Lermontov
Paul Foote
Dave Barry
Ridley Pearson
Greg Call
Chris A. Jones
Anthony Ryan
Ta-Nehisi Coates
David Wong
Wendy Mass
Pseudonymous Bosch
Gilbert Ford
Doris Kearns Goodwin
Marisha Pessl
Christine M. Knight
Crockett Johnson
Danielle Paige
Patricia Daniels Cornwell
Patricia Cornwell
Hiromu Arakawa
Akira Watanabe
Lois McMaster Bujold
Thomas More
Paul Turner
Sigrid Undset
Brad Leithauser
L.A. Weatherly
O. Henry
Lisbeth Zwerger
Paramahansa Yogananda
Leslie Garland
Georges Bataille
Joachim Neugroschel
Dovid Bergelson
M.S. Matassa
Morgan Rhodes
Michelle Rowen
Tomi Adeyemi
David J Morden
George S. Clason
Penelope Lively
Doris Lessing
John Katzenbach
Daniel Silva
Aimee Carter
Robin S. Sharma
